"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,,100,Country/Area,923,7251,7310.53,7372.02,7434.69,7497.95,7561.49,7625.19,7689.14,7753.61,7819,7885.61,7953.47,8022.16,8090.7,8157.83,8222.59,8284.45,8343.49,8400.01,8454.58,8507.54,8559.04,8608.66,8655.71,8699.17,8738.39,8772.56,8801.9,8828.03,8853.21,8878.79,8905.1,8930.71,8953.12,8968.91,8975.35,8972.56,8960.55,8936.65,8897.54,8841.47,8767,8676.38,8576.04,8474.82,8379.31,8291.97,8211.8,8137.67,8067.01,7997.95,7930.7,7866.24,7804.31,7744.63,7686.96,7631.02,7576.68,7524.08,7473.51,7425.01,7378.65,7334.01,7290.09,7245.65,7199.74,7151.95,7102.45,7051.61,7000.12,6948.45
Czechia,,203,Country/Area,923,8902.62,9007,9110.14,9205.97,9290.49,9361.78,9420.04,9467.56,9508.37,9547.67,9590.18,9638.39,9691.06,9742.46,9784.34,9811.38,9821.06,9817.11,9807.94,9805.32,9817.67,9847.22,9891.1,9946.19,10007.28,10069.96,10134.52,10200.73,10262.92,10313.96,10349.08,10365.52,10365.26,10354.1,10340.63,10331.14,10327.29,10327.47,10330.93,10335.88,10340.88,10346.46,10353.02,10358.69,10360.96,10358.19,10350.3,10338.35,10323.24,10306.4,10289.37,10271.02,10252.26,10239.13,10239.44,10258.17,10298.61,10357.54,10425.27,10488.16,10536.51,10566.51,10581.3,10586.53,10591.1,10601.39,10618.87,10641.03,10665.68,10689.21,10708.98
Hungary,,348,Country/Area,923,9337.72,9480.61,9597.94,9692.9,9768.68,9828.5,9875.6,9913.25,9944.7,9973.06,10000.99,10030.48,10062.51,10096.98,10132.98,10169.8,10208.23,10248.71,10289.77,10329.35,10366.1,10398.16,10426.09,10453.66,10486.19,10526.78,10577.94,10636.57,10693.33,10735.5,10754.29,10746.49,10715.86,10669.2,10616.74,10566.32,10519.3,10474.54,10434.54,10401.61,10377.14,10363.05,10358.62,10359.05,10357.59,10349.31,10332.45,10308.48,10279.61,10249.41,10220.51,10193.45,10167.29,10141.34,10114.48,10085.94,10055.66,10024.16,9991.87,9959.44,9927.38,9895.69,9864.36,9833.92,9804.99,9777.93,9752.97,9729.82,9707.5,9684.68,9660.35
Poland,,616,Country/Area,923,24824.01,25283.01,25764.32,26260.48,26764.49,27269.74,27770.04,28259.61,28733.12,29185.9,29614.2,30015.6,30389.35,30736.49,31059.45,31360.9,31641.04,31901.69,32149.54,32393.14,32639.26,32890.39,33147.08,33411.59,33685.79,33970.73,34266.1,34571.23,34885.81,35209.25,35539.72,35878.44,36221.54,36555.78,36863.95,37133.86,37359.52,37544.33,37697.36,37832.57,37960.19,38082.94,38197.59,38301.35,38389.47,38458.64,38509.67,38544.84,38564.19,38567.87,38556.7,38529.59,38488.64,38441.82,38399.55,38368.96,38354.45,38353.34,38356.79,38351.92,38329.78,38286.82,38227.03,38158.04,38091.1,38034.08,37989.22,37953.18,37921.59,37887.77,37846.61
Republic of Moldova,22,498,Country/Area,923,2341.01,2381.3,2431.89,2490.87,2556.46,2627.01,2700.98,2776.93,2853.57,2929.74,3004.45,3076.89,3146.55,3213.08,3276.43,3336.59,3393.05,3445.84,3496.13,3545.65,3595.55,3646.57,3698.23,3749.01,3796.77,3840.05,3878.1,3911.81,3943.33,3975.72,4011.09,4049.87,4091.13,4133.73,4175.93,4216.24,4254.53,4290.48,4322.34,4347.87,4365.56,4375.05,4376.8,4371.16,4358.79,4340.6,4316.23,4286.48,4254.84,4225.84,4202.66,4187.1,4178.23,4173.28,4167.96,4159.3,4146.26,4130.13,4112.89,4097.52,4086.09,4079.17,4075.8,4074.59,4073.41,4070.71,4066.01,4059.69,4051.95,4043.26,4033.96
Romania,,642,Country/Area,923,16236.29,16512.67,16764.91,17005.72,17243.81,17483.94,17726.63,17968.47,18202.72,18420.45,18613.95,18780.21,18924.15,19059.93,19207.14,19379.58,19582.33,19810.61,20055.98,20305.35,20548.91,20783.56,21011.15,21232.62,21450.41,21665.64,21879.08,22087.9,22285.51,22463.31,22615.64,22737.21,22830.55,22907.3,22983.96,23071.26,23175.06,23288.39,23393.74,23466.41,23489.16,23456.65,23375.83,23256.96,23115.81,22964.75,22805.71,22637.6,22466.29,22298.12,22137.42,21989.35,21853.28,21720.4,21577.89,21417.29,21234.31,21034.2,20829.52,20638,20471.86,20336.72,20227.47,20132.78,20035.93,19925.18,19796.28,19653.97,19506.11,19364.56,19237.68
Russian Federation,,643,Country/Area,923,102798.65,104304.7,105967.09,107727.31,109536.5,111355.3,113154.33,114913.78,116622.39,118275.87,119871.7,121403.9,122858.22,124210.25,125430.99,126503.74,127417.19,128187.4,128859.8,129497.5,130148.65,130830.72,131539.63,132275.73,133032.26,133804.86,134596.23,135413.34,136259.82,137139.39,138053.14,138993.85,139954.63,140935.77,141938.48,142957.29,143995.35,145032.89,146013.48,146863.93,147531.56,147995.58,148268.58,148373.58,148349.44,148227.47,148020.85,147730.02,147360.61,146915.92,146404.89,145830.73,145215.71,144610.88,144080.65,143672.13,143403.26,143266.21,143248.76,143326.9,143479.27,143703.03,143993.89,144325.46,144664.84,144985.06,145275.37,145530.09,145734.03,145872.26,145934.46
Slovakia,,703,Country/Area,923,3436.58,3510.92,3587.66,3664.91,3741.21,3815.4,3886.74,3954.86,4019.64,4081.31,4140.13,4196.17,4249.21,4298.59,4343.46,4383.45,4418.2,4448.55,4476.83,4506.15,4538.84,4575.56,4615.83,4659.28,4705.1,4752.54,4801.74,4852.49,4903.21,4951.79,4996.73,5037.34,5073.88,5106.98,5137.69,5166.79,5194.3,5219.97,5244.04,5266.81,5288.46,5309.23,5329.03,5347.21,5362.89,5375.47,5384.79,5391.2,5395.25,5397.71,5399.21,5400,5400.12,5399.84,5399.37,5398.96,5398.67,5398.69,5399.36,5401.15,5404.29,5408.93,5414.89,5421.72,5428.8,5435.61,5442,5447.9,5453.02,5457.01,5459.64
Ukraine,23,804,Country/Area,923,37297.64,37815.54,38360.08,38915.81,39471.4,40019.48,40557.03,41085.02,41607.89,42132.44,42664.65,43206.35,43752.23,44288.61,44796.96,45264.55,45684.98,46063.22,46411.82,46749.29,47088.86,47435.01,47783.01,48125.83,48452.62,48755.66,49032.73,49287.12,49523.3,49748,49965.87,50176.4,50377.07,50568.03,50749.18,50919.28,51077.46,51219.91,51338.39,51422.34,51463.1,51461.27,51415.96,51316.01,51147.77,50903.78,50580.47,50187.28,49746.52,49288.74,48838.06,48401.65,47980.03,47582.46,47217.49,46890.78,46607.4,46366.35,46158.71,45970.94,45792.09,45619.85,45453.81,45286.99,45111.53,44921.64,44713.71,44487.71,44246.16,43993.64,43733.76
Northern Europe,,924,Subregion,917,78007.08,78199.44,78452.2,78750.79,79084.58,79447.02,79835.81,80252.6,80702.37,81192.03,81727.08,82307.43,82924.19,83558.06,84183.7,84781.5,85343.38,85869.97,86361.34,86820.99,87251.32,87651.9,88020.08,88353.95,88651.39,88912,89136.55,89329.23,89497.54,89651.11,89798.44,89940.53,90080.05,90229.32,90403.17,90611.32,90861.06,91147.84,91454.52,91756.49,92036.27,92289.11,92521.23,92739.43,92954.96,93176.74,93410.75,93657.63,93915.61,94181.04,94454.22,94726.77,95007.69,95334.57,95757.25,96307.37,97002.47,97821.23,98708.41,99586.41,100398.3,101122.97,101773.52,102369.13,102943.06,103518.96,104100.67,104676.51,105237.1,105768.53,106261.27
Channel Islands,24,830,Country/Area,924,102.24,102.97,103.66,104.32,104.96,105.61,106.27,106.97,107.71,108.53,109.42,110.4,111.46,112.59,113.78,114.99,116.23,117.47,118.73,119.98,121.2,122.41,123.61,124.72,125.68,126.42,126.91,127.19,127.4,127.69,128.2,128.99,129.98,131.15,132.45,133.8,135.24,136.76,138.25,139.58,140.68,141.47,142.01,142.41,142.87,143.48,144.35,145.39,146.5,147.55,148.44,149.1,149.59,150.07,150.72,151.67,153,154.64,156.44,158.19,159.72,160.99,162.05,163.04,164.11,165.39,166.92,168.67,170.5,172.26,173.86
Denmark,25,208,Country/Area,924,4268.28,4308.92,4346.19,4380.31,4411.66,4440.78,4468.35,4495.22,4522.34,4550.68,4581.1,4614.03,4649.34,4686.27,4723.62,4760.46,4796.48,4831.75,4866.07,4899.29,4931.24,4961.76,4990.55,5017.25,5041.41,5062.73,5081.26,5097.05,5109.69,5118.71,5123.95,5125.3,5123.35,5119.61,5116.06,5114.25,5114.65,5117.28,5122.44,5130.36,5141.12,5154.91,5171.65,5190.75,5211.33,5232.71,5254.86,5277.71,5300.38,5321.77,5341.19,5358.06,5372.8,5386.97,5402.75,5421.7,5444.29,5469.92,5497.73,5526.39,5554.85,5582.98,5610.91,5638.15,5664.2,5688.7,5711.35,5732.28,5752.13,5771.88,5792.2
Estonia,,233,Country/Area,924,1101,1113.24,1125.24,1136.91,1148.21,1159.23,1170.09,1181.02,1192.26,1204.11,1216.82,1230.5,1245.08,1260.22,1275.44,1290.41,1304.98,1319.25,1333.17,1346.82,1360.21,1373.3,1386.07,1398.47,1410.47,1422.05,1433.17,1443.89,1454.27,1464.42,1474.44,1483.88,1492.64,1501.42,1511.19,1522.41,1536.03,1551.21,1564.2,1569.97,1565.25,1548.22,1520.81,1488.06,1457.09,1433.03,1417.74,1409.68,1406.35,1403.78,1399.11,1391.74,1382.74,1372.9,1363.57,1355.65,1349.37,1344.3,1340.07,1336.14,1332.1,1327.7,1323.16,1319.07,1316.27,1315.33,1316.51,1319.39,1322.91,1325.65,1326.54
Faroe Islands,26,234,Country/Area,924,31.5,31.54,31.67,31.87,32.14,32.48,32.86,33.27,33.71,34.16,34.62,35.07,35.52,35.97,36.41,36.84,37.28,37.71,38.13,38.56,39.01,39.46,39.92,40.4,40.85,41.29,41.72,42.13,42.54,42.94,43.34,43.73,44.1,44.48,44.9,45.33,45.81,46.34,46.83,47.16,47.28,47.12,46.75,46.28,45.85,45.63,45.62,45.79,46.09,46.43,46.74,47,47.24,47.44,47.6,47.73,47.79,47.83,47.82,47.81,47.8,47.82,47.84,47.9,47.97,48.06,48.17,48.33,48.5,48.68,48.87
Finland,27,246,Country/Area,924,4008.29,4050.49,4096.56,4144.31,4191.97,4238.27,4282.38,4323.92,4362.91,4399.67,4434.59,4467.76,4498.82,4526.74,4550.25,4568.6,4581.12,4588.66,4594.02,4601.03,4612.37,4629.37,4651.17,4675.45,4698.78,4718.74,4734.43,4746.93,4758.26,4771.34,4788.25,4809.81,4835.1,4862.17,4888.2,4911.22,4930.34,4946.37,4961.1,4977.12,4996.22,5019.13,5044.93,5071.78,5097.09,5119.01,5136.98,5151.74,5164.24,5175.92,5187.95,5200.48,5213.37,5227.11,5242.18,5258.93,5277.49,5297.74,5319.45,5342.27,5365.78,5390.04,5414.77,5438.98,5461.41,5481.13,5497.71,5511.37,5522.59,5532.16,5540.72
Iceland,,352,Country/Area,924,142.66,144.94,147.71,150.81,154.16,157.64,161.2,164.79,168.4,171.99,175.58,179.18,182.71,186.13,189.35,192.32,194.99,197.41,199.67,201.97,204.42,207.1,209.93,212.8,215.57,218.08,220.28,222.27,224.15,226.1,228.26,230.67,233.27,236.02,238.82,241.59,244.34,247.06,249.76,252.42,255.04,257.62,260.16,262.65,265.14,267.63,270.14,272.71,275.29,277.87,280.44,282.91,285.33,287.96,291.1,294.98,299.73,305.18,310.86,316.06,320.34,323.47,325.64,327.19,328.59,330.24,332.21,334.4,336.71,339.04,341.25
Ireland,,372,Country/Area,924,2912.68,2912.61,2909.05,2901.31,2889.28,2873.41,2854.78,2835.06,2816.35,2801.09,2791.39,2788.53,2792.38,2801.18,2812.23,2823.64,2834.68,2846.35,2860.73,2880.76,2908.43,2944.09,2986.57,3034.33,3085.16,3137.18,3189.87,3242.77,3294.16,3342.01,3384.76,3422.03,3453.79,3479.46,3498.54,3510.98,3516.42,3515.83,3512.18,3509.51,3510.88,3517.7,3529.85,3546.93,3567.92,3592.18,3619.63,3651.1,3687.82,3731.47,3783.1,3842.25,3908,3980.08,4058.13,4141.22,4230.62,4324.65,4415.87,4494.57,4554.33,4591.12,4608.2,4615.43,4626.85,4652.42,4695.79,4753.28,4818.69,4882.5,4937.8
Isle of Man,14,833,Country/Area,924,55.25,55.22,54.85,54.21,53.37,52.41,51.4,50.43,49.57,48.88,48.44,48.29,48.42,48.8,49.4,50.15,51.05,52.12,53.25,54.38,55.43,56.35,57.17,57.92,58.67,59.48,60.37,61.34,62.26,63.03,63.55,63.78,63.77,63.7,63.81,64.28,65.2,66.48,67.93,69.26,70.29,70.93,71.26,71.43,71.66,72.13,72.88,73.85,74.94,76,76.94,77.71,78.32,78.88,79.52,80.29,81.28,82.41,83.52,84.38,84.86,84.89,84.53,83.99,83.49,83.23,83.3,83.61,84.07,84.59,85.03
Latvia,,428,Country/Area,924,1926.57,1934,1945.96,1961.66,1980.4,2001.57,2024.68,2049.31,2075.18,2102.01,2129.58,2157.66,2185.87,2213.81,2240.95,2266.94,2291.47,2314.51,2336.32,2357.39,2378.02,2398.38,2418.28,2437.18,2454.4,2469.44,2482.2,2492.98,2502.52,2511.74,2521.38,2531.02,2540.44,2550.93,2564.12,2580.76,2602.15,2626.91,2649.84,2663.94,2664.45,2649.16,2620.25,2582.66,2543.63,2508.48,2478.83,2453.31,2430.55,2408.09,2384.15,2358.69,2332.53,2305.85,2278.92,2252,2225.06,2198.09,2171.25,2144.78,2118.86,2093.61,2069.02,2044.95,2021.22,1997.68,1974.27,1951.1,1928.46,1906.74,1886.2
Lithuania,,440,Country/Area,924,2567.41,2569.62,2578.05,2591.37,2608.53,2628.75,2651.63,2677.01,2704.99,2735.87,2769.88,2806.92,2846.39,2887.07,2927.39,2966.17,3002.79,3037.46,3070.7,3103.51,3136.59,3170.08,3203.63,3236.74,3268.65,3298.88,3327.26,3354.07,3379.79,3405.17,3430.76,3456.14,3481.13,3506.55,3533.49,3562.4,3594.06,3627.33,3658.5,3682.56,3696.04,3697.45,3688.1,3670.65,3649.14,3626.61,3603.76,3579.91,3555.14,3529.19,3501.84,3473.62,3444.78,3414.37,3381.13,3344.26,3303.33,3258.98,3212.87,3167.27,3123.83,3083.4,3045.56,3008.94,2971.5,2931.87,2889.56,2845.42,2801.27,2759.63,2722.29
Norway,28,578,Country/Area,924,3265.27,3300.75,3334.48,3367.05,3398.91,3430.34,3461.52,3492.45,3523.05,3553.13,3582.51,3611.14,3639.21,3667.11,3695.42,3724.46,3754.35,3784.87,3815.64,3846.18,3876.05,3905.27,3933.73,3960.81,3985.74,4008.03,4027.48,4044.34,4059.19,4072.88,4086.07,4098.97,4111.65,4124.59,4138.27,4153.11,4169.32,4186.97,4205.96,4226.12,4247.29,4269.47,4292.69,4316.79,4341.62,4367,4393.22,4420.27,4447.49,4474.01,4499.38,4523.14,4546.02,4570.1,4598.21,4632.36,4672.99,4719.4,4771.01,4826.85,4885.88,4948.34,5013.72,5079.46,5142.27,5199.83,5250.95,5296.32,5337.96,5378.86,5421.24
Sweden,,752,Country/Area,924,7009.91,7073.23,7127.52,7175.67,7220.06,7262.63,7304.77,7347.48,7391.24,7436.26,7482.54,7530.18,7579.57,7631.45,7686.74,7745.68,7809.09,7875.9,7942.31,8003.19,8054.91,8095.8,8127.05,8151.6,8173.96,8197.34,8223.25,8250.69,8277.42,8300,8316.33,8325.49,8329.43,8332.44,8340.44,8357.65,8384.99,8421.06,8464.79,8514.2,8567.38,8625.14,8686.74,8746.77,8798.24,8836.42,8859.18,8868.86,8870.85,8873.11,8881.64,8897.8,8920.7,8951.44,8990.65,9038.63,9096.17,9162.94,9236.43,9313.09,9390.16,9466.71,9542.82,9618.02,9692.14,9764.95,9836,9904.9,9971.63,10036.39,10099.27
United Kingdom,29,826,Country/Area,924,50616.02,50601.93,50651.27,50750.98,50890.91,51063.91,51265.89,51495.7,51754.67,52045.66,52370.6,52727.76,53109.4,53500.72,53882.75,54240.86,54568.87,54866.53,55132.6,55367.95,55573.46,55748.53,55892.41,56006.29,56092.06,56152.33,56188.35,56203.6,56205.91,56205.09,56209.16,56220.74,56241.41,56276.79,56332.9,56413.56,56522.51,56658.26,56812.75,56974.29,57134.38,57290.79,57446.04,57602.28,57763.38,57932.45,58113.55,58307.32,58509.97,58715.86,58923.31,59124.28,59326.29,59561.43,59872.76,60287.95,60821.35,61455.15,62145.1,62828.62,63459.8,64021.92,64525.3,64984.02,65423.05,65860.15,66297.94,66727.46,67141.68,67530.16,67886
Southern Europe,,925,Subregion,917,108737.29,109656.86,110601.81,111545.21,112469.44,113365.96,114236.16,115090.63,115947.61,116830.64,117760.62,118747.88,119784.96,120843.52,121883.08,122876.34,123809.2,124695.81,125571.36,126486.28,127475.18,128546.22,129682.39,130862.24,132053.45,133229.27,134384.1,135515.21,136602.15,137621.27,138555.09,139394.73,140140.89,140798.1,141376.14,141883.58,142321.14,142690.11,143001.5,143269,143503.83,143723.68,143933.67,144118.58,144254.58,144332.48,144332.77,144282.73,144275.64,144435.94,144846.71,145541.89,146477.65,147562.18,148662.44,149676.17,150579.04,151382.87,152066.06,152613.09,153015.52,153254.96,153333.81,153292.25,153188.22,153064.87,152936.83,152796.35,152637.57,152446.95,152215.24
Albania,,8,Country/Area,925,1263.16,1287.5,1316.09,1348.11,1382.9,1419.99,1459.12,1500.18,1543.26,1588.51,1636.09,1685.93,1737.68,1790.57,1843.65,1896.18,1947.84,1998.74,2049.21,2099.74,2150.7,2202.19,2254.06,2306.28,2358.85,2411.73,2464.98,2518.69,2572.85,2627.51,2682.7,2737.02,2790.28,2844.87,2904.14,2969.67,3044.2,3124.89,3200.97,3257.91,3286.07,3280.4,3245.89,3195.2,3146.52,3112.92,3098.7,3099.75,3110.7,3122.7,3129.25,3129.7,3126.18,3118.02,3104.89,3086.81,3063.02,3033.99,3002.68,2973.04,2948.03,2928.6,2914.09,2903.79,2896.31,2890.52,2886.43,2884.17,2882.74,2880.91,2877.8
Andorra,,20,Country/Area,925,6.2,6.69,7.25,7.86,8.53,9.23,9.98,10.78,11.61,12.5,13.41,14.38,15.38,16.41,17.47,18.54,19.65,20.76,21.89,23.05,24.28,25.57,26.89,28.23,29.52,30.71,31.78,32.77,33.74,34.83,36.06,37.5,39.12,40.85,42.71,44.59,46.52,48.46,50.43,52.45,54.51,56.67,58.88,60.97,62.68,63.86,64.36,64.32,64.14,64.37,65.39,67.34,70.05,73.18,76.25,78.87,81,82.68,83.86,84.46,84.45,83.75,82.43,80.77,79.21,77.99,77.3,77,77.01,77.15,77.27
Bosnia and Herzegovina,,70,Country/Area,925,2661.3,2710.65,2764.71,2821.31,2878.84,2936.3,2993.28,3049.93,3106.9,3165.19,3225.66,3288.6,3353.23,3417.57,3479,3535.63,3586.63,3632.68,3675.45,3717.48,3760.54,3805.29,3851.15,3897.26,3942.22,3985.11,4025.27,4063.19,4100.36,4138.82,4179.85,4222.48,4265.18,4307.91,4350.57,4392.14,4435.93,4479.52,4509.46,4507.82,4463.42,4369.32,4233.67,4078.94,3936.53,3829.05,3764.42,3736.07,3734.34,3743.35,3751.18,3755.51,3759.39,3762.18,3764.19,3765.33,3765.42,3762.79,3754.26,3735.95,3705.48,3661.17,3604.97,3542.6,3482.11,3429.36,3386.26,3351.53,3323.93,3301,3280.82
Croatia,,191,Country/Area,925,3850.29,3886.22,3922.67,3959.12,3995.14,4030.42,4064.77,4098.13,4130.49,4161.96,4192.64,4222.5,4251.42,4279.06,4304.99,4328.93,4350.82,4370.86,4389.32,4406.61,4423.07,4438.82,4453.99,4469.03,4484.52,4500.87,4518.1,4536.2,4555.41,4576.03,4598.13,4621.42,4645.4,4669.62,4693.42,4716.12,4737.95,4758.15,4773.68,4780.63,4776.37,4760,4732.87,4697.54,4657.8,4616.76,4574.89,4532.41,4491.91,4456.45,4428.08,4408.07,4395.8,4388.91,4383.88,4378.07,4370.78,4362.43,4352.64,4341.26,4328.16,4313.1,4295.87,4276.59,4255.52,4232.87,4208.61,4182.85,4156.41,4130.3,4105.27
Gibraltar,14,292,Country/Area,925,22.03,22.29,22.49,22.63,22.73,22.78,22.83,22.88,22.98,23.15,23.42,23.81,24.31,24.89,25.48,26.08,26.63,27.17,27.69,28.17,28.6,29.01,29.35,29.66,29.89,30.06,30.18,30.23,30.22,30.17,30.07,29.9,29.7,29.48,29.28,29.15,29.1,29.11,29.16,29.19,29.15,29.02,28.84,28.68,28.61,28.69,28.97,29.4,29.95,30.53,31.08,31.6,32.1,32.56,32.93,33.22,33.42,33.52,33.57,33.56,33.59,33.61,33.65,33.69,33.73,33.74,33.74,33.72,33.72,33.71,33.69
Greece,,300,Country/Area,925,7668.79,7742.94,7814.17,7882.6,7948.28,8011.13,8070.96,8127.48,8180.31,8229.11,8273.63,8314.01,8350.88,8385.44,8419.3,8453.82,8489.87,8528.03,8569.14,8614.04,8663.57,8716.87,8774.51,8840.31,8919.25,9014.09,9127.06,9254.98,9388.72,9515.74,9627,9719.84,9796.83,9860.73,9916.48,9968.23,10015.12,10057.29,10101.35,10155.72,10225.99,10315.11,10420.23,10533.81,10644.94,10745.5,10832.14,10906.25,10970.12,11027.9,11082.1,11134.45,11182.31,11218.88,11234.99,11224.8,11185.23,11120.37,11040.31,10959.27,10887.64,10829.07,10781.12,10740.5,10701.46,10659.74,10615.18,10569.45,10522.24,10473.45,10423.06
Holy See,30,336,Country/Area,925,0.91,0.88,0.88,0.89,0.9,0.9,0.91,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.88,0.85,0.81,0.77,0.71,0.67,0.65,0.65,0.66,0.69,0.71,0.72,0.73,0.73,0.73,0.72,0.73,0.72,0.73,0.73,0.73,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.79,0.79,0.79,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.81,0.82,0.81
Italy,,380,Country/Area,925,46598.6,47009.98,47390.57,47737.39,48051.04,48335.58,48598.9,48852.44,49110.37,49388.39,49699.95,50052.17,50442.35,50856.41,51273.23,51677.25,52062.75,52433.48,52794.53,53154.58,53518.97,53888.88,54258.74,54619.24,54957.8,55265.28,55537.95,55777.88,55988.98,56177.84,56349.35,56505.48,56644.86,56765.25,56863.13,56936.78,56983.93,57007.74,57018.19,57028.71,57048.24,57088.13,57145.31,57197.61,57213.54,57174.41,57065.23,56903.63,56742.76,56655.63,56692.18,56875.15,57182.52,57564.59,57948.42,58281.21,58542.62,58747.86,58922.12,59105.62,59325.23,59589.07,59879.47,60166.83,60409.62,60578.49,60663.07,60673.69,60627.29,60550.09,60461.83
Malta,,470,Country/Area,925,312,312.22,312.75,313.27,313.56,313.52,313.2,312.7,312.3,312.32,312.97,314.41,316.52,318.89,320.93,322.24,322.7,322.46,321.76,321.03,320.55,320.36,320.44,320.8,321.44,322.36,323.58,325.13,326.98,329.12,331.49,334.12,336.96,339.98,343.1,346.25,349.43,352.62,355.8,358.94,362.02,364.99,367.89,370.77,373.75,376.89,380.26,383.76,387.28,390.63,393.65,396.32,398.72,400.86,402.82,404.66,406.33,407.85,409.49,411.56,414.26,417.72,421.81,426.14,430.19,433.56,436.1,437.94,439.26,440.38,441.54
Montenegro,,499,Country/Area,925,394.74,400.87,410.51,421.73,433.14,443.8,453.32,461.81,469.78,478.07,487.42,498.13,509.71,520.71,529.18,533.82,533.92,530.23,524.85,520.65,519.7,522.78,529.21,537.77,546.57,554.26,560.42,565.51,570.06,574.95,580.76,587.69,595.35,602.97,609.44,614.01,616.36,616.79,616.05,615.21,615,615.74,617.18,618.86,620.08,620.42,619.71,618.22,616.34,614.65,613.56,613.17,613.37,614.08,615.14,616.39,617.86,619.55,621.31,622.93,624.28,625.27,625.93,626.34,626.65,626.96,627.27,627.56,627.8,627.99,628.06
North Macedonia,,807,Country/Area,925,1254.44,1290.42,1320.98,1347.47,1370.98,1392.46,1412.61,1432.02,1451.02,1469.85,1488.67,1507.65,1527.11,1547.45,1569.14,1592.44,1617.8,1644.95,1672.4,1698.15,1720.81,1739.53,1754.95,1769,1784.4,1803.01,1825.56,1851.07,1877.69,1902.72,1924.2,1941.53,1955.25,1965.89,1974.41,1981.54,1987.54,1992.28,1995.51,1996.86,1996.22,1993.3,1988.66,1984.02,1981.71,1983.26,1989.44,1999.59,2012.05,2024.39,2034.82,2042.84,2048.93,2053.43,2057.04,2060.28,2063.13,2065.41,2067.31,2069.03,2070.74,2072.48,2074.28,2076.07,2077.78,2079.34,2080.75,2082,2082.96,2083.46,2083.38
Portugal,,620,Country/Area,925,8416.97,8418.74,8451.55,8503.17,8563.7,8625.54,8683.42,8734.43,8777.7,8814.02,8844.64,8869.99,8888.51,8896.27,8888.23,8862.28,8814.77,8750.86,8687.87,8649.25,8651.33,8700,8789.11,8907.93,9039.98,9172.24,9302.3,9431.04,9552.61,9660.75,9750.97,9820.87,9870.82,9902.99,9921.24,9929.18,9926.43,9914.07,9899.2,9890.82,9895.36,9916.05,9951.31,9996.64,10045.03,10091.32,10134.02,10174.56,10214.05,10254.5,10297.12,10341.46,10385.99,10429.62,10470.93,10508.49,10542.84,10573.15,10595.31,10604.07,10596.06,10569.39,10526.31,10473.03,10418.22,10368.35,10325.54,10288.53,10256.19,10226.18,10196.71
San Marino,,674,Country/Area,925,12.77,12.92,13.1,13.3,13.53,13.79,14.07,14.38,14.71,15.06,15.44,15.84,16.26,16.67,17.1,17.51,17.92,18.31,18.67,18.98,19.22,19.39,19.49,19.56,19.66,19.83,20.09,20.4,20.76,21.12,21.45,21.76,22.04,22.3,22.55,22.79,23.05,23.3,23.55,23.83,24.12,24.45,24.83,25.21,25.59,25.93,26.25,26.56,26.85,27.14,27.46,27.82,28.18,28.56,28.94,29.32,29.69,30.07,30.43,30.83,31.22,31.66,32.1,32.55,32.94,33.27,33.5,33.67,33.78,33.86,33.94
Serbia,31,688,Country/Area,925,6732.25,6853.29,6963.39,7063.17,7153.36,7234.92,7308.93,7376.69,7439.61,7499.17,7556.73,7613.36,7669.61,7725.5,7780.69,7835.09,7888.8,7942.64,7998,8056.67,8119.87,8187.99,8260.63,8337.07,8416.26,8497.17,8579.63,8663.33,8746.98,8829.04,8908.3,8984.6,9057.97,9127.68,9192.92,9253.4,9306.35,9352.15,9397.31,9450.77,9517.68,9602.88,9701.15,9795.25,9861.63,9884.15,9856.06,9784.69,9685.43,9580.82,9487.61,9410.77,9346.46,9292.23,9242.64,9193.82,9145.91,9101.19,9060.11,9023.35,8991.26,8963.76,8940.12,8918.89,8898.28,8876.78,8853.96,8829.62,8802.74,8772.23,8737.37
Slovenia,,705,Country/Area,925,1473.09,1481.63,1491.68,1502.84,1514.79,1527.21,1539.79,1552.26,1564.36,1575.87,1586.63,1596.55,1605.64,1614.02,1621.89,1629.44,1636.66,1643.7,1651.09,1659.56,1669.58,1681.43,1694.98,1709.98,1725.97,1742.62,1759.72,1777.32,1795.64,1815.11,1835.84,1857.85,1880.71,1903.55,1925.31,1945.13,1962.87,1978.5,1991.39,2000.83,2006.4,2007.78,2005.35,2000.56,1995.33,1991.13,1988.58,1987.46,1987.38,1987.63,1987.71,1987.46,1987.27,1987.86,1990.23,1994.98,2002.43,2012.13,2023.05,2033.81,2043.34,2051.28,2057.83,2063.12,2067.49,2071.2,2074.21,2076.4,2077.84,2078.65,2078.93
